Geography,ID,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Less than 5 minutes,Total_lessthan5,Estimate!!Total:!!5 to 9 minutes,5_to_9_ratio
0500000US25001,25001,"Barnstable County, Massachusetts",97684,3634,3.72015888,12945,0.132519143
0500000US25003,25003,"Berkshire County, Massachusetts",56621,2391,4.222814857,10051,0.177513643
0500000US25005,25005,"Bristol County, Massachusetts",262921,7687,2.923691907,22509,0.085611267
0500000US25007,25007,"Dukes County, Massachusetts",8039,673,8.371688021,1463,0.181987809
0500000US25009,25009,"Essex County, Massachusetts",367824,8437,2.293760059,31393,0.085347884
0500000US25011,25011,"Franklin County, Massachusetts",31179,1744,5.593508451,4142,0.132845826
0500000US25013,25013,"Hampden County, Massachusetts",194288,4751,2.445338878,20841,0.107268591
0500000US25015,25015,"Hampshire County, Massachusetts",70363,2580,3.666699828,8713,0.123829285
0500000US25017,25017,"Middlesex County, Massachusetts",743450,13290,1.78761181,49242,0.066234448
0500000US25019,25019,"Nantucket County, Massachusetts",6604,605,9.161114476,1553,0.235160509
0500000US25021,25021,"Norfolk County, Massachusetts",323292,6276,1.941279091,20726,0.064109226
0500000US25023,25023,"Plymouth County, Massachusetts",240261,5366,2.233404506,20109,0.08369648
0500000US25025,25025,"Suffolk County, Massachusetts",377994,6934,1.834420652,18932,0.050085451
0500000US25027,25027,"Worcester County, Massachusetts",383875,10199,2.656854445,36502,0.095088245
