tract_fips10,year,population,aland10,count_445110,count_sales_445110,count_emp_445110,popden_445110,popden_sales_445110,popden_emp_445110,aden_445110,aden_sales_445110,aden_emp_445110
37001020100,2013,3723,1.741973,4,3,3,1.074402,0.8058017,0.8058017,2.296247,1.722185,1.722185
37001020100,2014,3723,1.741973,4,4,3,1.074402,1.074402,0.8058017,2.296247,2.296247,1.722185
37001020100,2015,3723,1.741973,3,3,3,0.8058017,0.8058017,0.8058017,1.722185,1.722185,1.722185
37001020100,2017,3723,1.741973,3,3,3,0.8058017,0.8058017,0.8058017,1.722185,1.722185,1.722185
37001020200,2013,4140,1.333922,3,3,3,0.7246377,0.7246377,0.7246377,2.249008,2.249008,2.249008
37001020200,2014,4140,1.333922,3,3,3,0.7246377,0.7246377,0.7246377,2.249008,2.249008,2.249008
37001020200,2015,4140,1.333922,3,3,3,0.7246377,0.7246377,0.7246377,2.249008,2.249008,2.249008
37001020200,2017,4140,1.333922,3,3,3,0.7246377,0.7246377,0.7246377,2.249008,2.249008,2.249008
37001020300,2013,8016,4.309391,5,5,5,0.6237525,0.6237525,0.6237525,1.160257,1.160257,1.160257
37001020300,2014,8016,4.309391,4,4,4,0.499002,0.499002,0.499002,0.9282054,0.9282054,0.9282054
37001020300,2015,8016,4.309391,4,4,4,0.499002,0.499002,0.499002,0.9282054,0.9282054,0.9282054
37001020300,2017,8016,4.309391,4,4,4,0.499002,0.499002,0.499002,0.9282054,0.9282054,0.9282054
37001020400,2013,6755,4.462623,1,1,0,0.1480385,0.1480385,0,0.2240835,0.2240835,0
37001020400,2014,6755,4.462623,0,0,0,0,0,0,0,0,0
37001020400,2015,6755,4.462623,0,0,0,0,0,0,0,0,0
37001020400,2017,6755,4.462623,0,0,0,0,0,0,0,0,0
37001020501,2013,3633,2.756455,3,3,3,0.8257639,0.8257639,0.8257639,1.088354,1.088354,1.088354
37001020501,2014,3633,2.756455,2,2,2,0.5505092,0.5505092,0.5505092,0.7255695,0.7255695,0.7255695
37001020501,2015,3633,2.756455,2,2,2,0.5505092,0.5505092,0.5505092,0.7255695,0.7255695,0.7255695
37001020501,2017,3633,2.756455,2,2,2,0.5505092,0.5505092,0.5505092,0.7255695,0.7255695,0.7255695
37001020502,2013,3996,2.093229,2,1,2,0.5005005,0.2502503,0.5005005,0.9554617,0.4777309,0.9554617
37001020502,2014,3996,2.093229,2,2,2,0.5005005,0.5005005,0.5005005,0.9554617,0.9554617,0.9554617
37001020502,2015,3996,2.093229,2,2,2,0.5005005,0.5005005,0.5005005,0.9554617,0.9554617,0.9554617
37001020502,2017,3996,2.093229,1,1,1,0.2502503,0.2502503,0.2502503,0.4777309,0.4777309,0.4777309
37001020601,2013,3025,2.16153,1,1,1,0.3305785,0.3305785,0.3305785,0.4626352,0.4626352,0.4626352
37001020601,2014,3025,2.16153,1,1,1,0.3305785,0.3305785,0.3305785,0.4626352,0.4626352,0.4626352
37001020601,2015,3025,2.16153,1,1,1,0.3305785,0.3305785,0.3305785,0.4626352,0.4626352,0.4626352
37001020601,2017,3025,2.16153,1,1,1,0.3305785,0.3305785,0.3305785,0.4626352,0.4626352,0.4626352
37001020602,2013,2629,1.070521,2,1,2,0.7607455,0.3803728,0.7607455,1.86825,0.9341248,1.86825
37001020602,2014,2629,1.070521,2,2,2,0.7607455,0.7607455,0.7607455,1.86825,1.86825,1.86825
37001020602,2015,2629,1.070521,2,2,2,0.7607455,0.7607455,0.7607455,1.86825,1.86825,1.86825
37001020602,2017,2629,1.070521,2,2,2,0.7607455,0.7607455,0.7607455,1.86825,1.86825,1.86825
37001020701,2013,4278,2.625252,8,7,8,1.870033,1.636279,1.870033,3.047327,2.666411,3.047327
37001020701,2014,4278,2.625252,7,7,7,1.636279,1.636279,1.636279,2.666411,2.666411,2.666411
37001020701,2015,4278,2.625252,6,6,6,1.402525,1.402525,1.402525,2.285495,2.285495,2.285495
37001020701,2017,4278,2.625252,5,5,5,1.16877,1.16877,1.16877,1.904579,1.904579,1.904579
37001020702,2013,4520,2.92359,2,2,1,0.4424779,0.4424779,0.2212389,0.6840904,0.6840904,0.3420452
37001020702,2014,4520,2.92359,2,2,1,0.4424779,0.4424779,0.2212389,0.6840904,0.6840904,0.3420452
37001020702,2015,4520,2.92359,2,2,1,0.4424779,0.4424779,0.2212389,0.6840904,0.6840904,0.3420452
37001020702,2017,4520,2.92359,2,2,1,0.4424779,0.4424779,0.2212389,0.6840904,0.6840904,0.3420452
37001020801,2013,1628,4.598464,4,4,4,2.457002,2.457002,2.457002,0.8698556,0.8698556,0.8698556
37001020801,2014,1628,4.598464,5,4,5,3.071253,2.457002,3.071253,1.087319,0.8698556,1.087319
37001020801,2015,1628,4.598464,5,5,5,3.071253,3.071253,3.071253,1.087319,1.087319,1.087319
37001020801,2017,1628,4.598464,3,3,3,1.842752,1.842752,1.842752,0.6523917,0.6523917,0.6523917
37001020802,2013,6126,1.82883,2,2,1,0.3264773,0.3264773,0.1632387,1.093595,1.093595,0.5467977
37001020802,2014,6126,1.82883,2,2,1,0.3264773,0.3264773,0.1632387,1.093595,1.093595,0.5467977
37001020802,2015,6126,1.82883,2,2,1,0.3264773,0.3264773,0.1632387,1.093595,1.093595,0.5467977
37001020802,2017,6126,1.82883,2,2,1,0.3264773,0.3264773,0.1632387,1.093595,1.093595,0.5467977
37001020901,2013,3824,3.042468,2,2,2,0.5230125,0.5230125,0.5230125,0.657361,0.657361,0.657361
37001020901,2014,3824,3.042468,1,1,1,0.2615063,0.2615063,0.2615063,0.3286805,0.3286805,0.3286805
37001020901,2015,3824,3.042468,1,1,1,0.2615063,0.2615063,0.2615063,0.3286805,0.3286805,0.3286805
37001020901,2017,3824,3.042468,1,1,1,0.2615063,0.2615063,0.2615063,0.3286805,0.3286805,0.3286805
37001020902,2013,3490,3.959024,0,0,0,0,0,0,0,0,0
37001020902,2014,3490,3.959024,0,0,0,0,0,0,0,0,0
